번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0532,DAY 18,임대,임대,賃貸,"품삯 임, 빌릴 대",2006수능,명사,"돈을 받고 자기의 물건을 남에게 빌려줌.
¶ 임대 아파트 / 임대 가격이 싸다. / 임대 조건이 좋다."
0533,DAY 18,권리,권리,權利,"권세 권, 이로울 리",2006수능,명사,"(1) 권세와 이익.
(2) {법률} 어떤 일을 행하거나 타인에 대하여 당연히 요구할 수 있는 힘이나 자격. 공권,
사권, 사회권이 있다.
¶ 권리를 누리다. / 권리를 주장하다. / 권리를 침해하다. / 권리를 행사하다. /
사람에게는 교육을 받을 권리가 있다. / 민주주의 국가에서는 국민의 자유와
권리가 보장된다."
0534,DAY 18,개입,개입,介入,"낄 개, 들 입",2006수능,명사,"자신과 직접적인 관계가 없는 일에 끼어듦.
¶ 군사적 개입 / 제삼자의 개입 / 양가의 개입으로 부부 사이가 더 나빠졌다."
0535,DAY 18,종속,종속02,從屬,"좇을 종, 무리 속",2006수능,명사,"(1) 자주성이 없이 주가 되는 것에 딸려 붙음.
¶ 정치적 종속 / 경제적 종속.
(2) {언어} 문장의 구성 성분으로서 다른 부분에 대하여 주술, 수식, 조건적 접속 따위의 관
계로 결합하는 일. 또는 그런 방식."
0536,DAY 18,비평,비평,批評,"비평할 비, 평할 평",2006수능,명사,"(1) 사물의 옳고 그름, 아름다움과 추함 따위를 분석하여 가치를 논함.
¶ 날카로운 비평 / 신랄한 비평
(2) 남의 잘못을 드러내어 이러쿵저러쿵 좋지 아니하게 말하여 퍼뜨림.
¶ 당사자가 없는 자리에서 하는 비평은 정당하지 못하다."
0537,DAY 18,위계,위계02,位階,"자리 위, 섬돌 계",2006수능,명사,"(1) 벼슬의 품계.
¶ 그것은 새 능의 주인공의 신분이나 위계가 서하총의 그것보다는 아래임을 나타
내는 것이었다. ≪이청준, 춤추는 사제≫
(2) 지위나 계층 따위의 등급. ≒ 계위
01(階位).
¶ 위계가 서다 / 군대에서는 위계가 분명하다."
0538,DAY 18,허구,허구02,虛構,"빌 허, 얽을 구",2006수능,명사,"(1) 사실에 없는 일을 사실처럼 꾸며 만듦.
¶ 허구로 밝혀진 증언
(2) {문학} 소설이나 희곡 따위에서, 실제로는 없는 사건을 작가의 상상력으로 재창조해 냄.
또는 그런 이야기. ≒ 픽션."
0539,DAY 18,투영,투영02,投影,"던질 투, 그림자 영",2006수능,명사,"(1) 물체의 그림자를 어떤 물체 위에 비추는 일. 또는 그 비친 그림자. ≒ 투사영.
(2) 어떤 일을 다른 일에 반영하여 나타냄을 비유적으로 이르는 말.
(3) {수학} 도형이나 입체를 다른 평면에 옮기는 일. 혹은 그것에 의하여 평면에 생기는 도
형
(4) {심리} 어떤 상황이나 자극에 대한 해석, 판단, 표현 따위에 심리 상태나 성격이 반영되
는 일."
0540,DAY 18,해체,해체03,解體,"풀 해, 몸 체",2006수능,명사,"(1) 단체 따위가 흩어짐. 또는 그것을 흩어지게 함.
¶ 축구팀 해체 / 구단이 자금 사정을 이유로 팀의 해체를 선언했다.
(2) 체제나 조직 따위가 붕괴함. 또는 그것을 붕괴하게 함.
¶ 중세 사회의 해체 / 농촌의 해체 위기.
(3) 여러 가지 부속으로 맞추어진 기계 따위가 풀어져 흩어짐. 또는 그것을 뜯어서 헤침.
(4) 구조물 따위가 헐어 무너짐. 또는 그것을 헐어 무너뜨림.
(5) {생물} 생물체의 일부나 전부를 갈라 헤쳐 그 내부 구조와 각 부분 사이의 관련 및 병
인(病因), 사인(死因) 따위를 조사하는 일."
0541,DAY 19,복사,복사11,輻射,"바퀴살 복, 쏠 사",2006수능,명사,"{물리} 물체로부터 열이나 전자기파가 사방으로 방출됨. 또는 그 열이나 전자기파. ≒ 내비
침·라디에이션·방사
07(放射)(2).
¶ 어느덧 해는 지고 복사만 하늘에 남았다. ≪이병주, 지리산≫"
0542,DAY 19,응고,응고01,凝固,"엉길 응, 굳을 고",2006수능,명사,"액체 따위가 엉겨서 뭉쳐 딱딱하게 굳어짐.
¶ 응고 상태."
0543,DAY 19,상통,상통03,相通,"서로 상, 통할 통",2006수능,명사,"(1) 서로 막힘이 없이 길이 트임.
(2) 서로 마음과 뜻이 통함.
¶ 준태는 창애가 무엇을 하려는지 알 수 있었다. 좋든 나쁘든 4년간 같이 살아 온
사람끼리의 무언의 상통이라는 것이었다. ≪황순원, 움직이는 성≫
(3) 서로 어떠한 일에 공통되는 부분이 있음."
0544,DAY 19,유추,유추02,類推,"무리 유, 밀 추",2006수능,명사,"(1) 같은 종류의 것 또는 비슷한 것에 기초하여 다른 사물을 미루어 추측하는 일.
¶ 유추에 의하여 판단하다.
(2) {논리} 두 개의 사물이 여러 면에서 비슷하다는 것을 근거로 다른 속성도 유사할 것이라
고 추론하는 일. 서로 비슷한 점을 비교하여 하나의 사물에서 다른 사물로 추리
한다. ≒ 아날로지(1)·유비
04(類比)(2)·유비추리
(3) {언어} 어떤 단어나 어법(語法)이 의미적·형태적으로 비슷한 다른 단어나 문법 형식을
모델로 하여 형성되는 과정. ‘서르’, ‘바’가 ‘함부로’, ‘저절로’ 따위의 ‘-로’에
유추하여 ‘서로’, ‘바로’로 변화하는 현상 따위이다. ≒ 아날로지(2)"
0545,DAY 19,인용,인용02,引用,"끌 인, 쓸 용",2006수능,명사,"남의 말이나 글을 자신의 말이나 글 속에 끌어 씀.
¶ 인용 보도 / 적절한 인용 / 대부분이 인용으로 이루어진 글."
0546,DAY 19,보편적,보편적,普遍的,"넓을 보, 두루 편, 어조사 적",2006수능,"관형사, , 명사","(1) 두루 널리 미치는. 또는 그런 것.
¶ 보편적 추세 / 보편적으로 쓰는 말.
(2) 모든 것에 공통되거나 들어맞는. 또는 그런 것.
¶ 보편적 가치 / 보편적 성격 / 보편적이고 예외 없는 규칙 / 보편적으로 적용되
는 기준."
0547,DAY 19,묵시적,묵시적,默示的,"잠잠할 묵, 보일 시, 어조사 적",2006수능,"관형사, , 명사","직접적으로 말이나 행동으로 드러내지 않고 은연중에 뜻을 나타내 보이는. 또는 그런 것.
¶ 묵시적 동의 / 묵시적 원칙 / 묵시적으로 동조하다. / 급여 문제는 묵시적으로
합의를 본 사안이었다. / 대원의 말에 강 대위는 대답하지 않고 입가에 웃음을
조금 흘렸다. 그것은 묵시적인 승낙이었다. ≪이원규, 훈장과 굴레≫"
0548,DAY 19,범주,범주05,範疇,"법 범, 이랑 주",2006수능,명사,"(1) 동일한 성질을 가진 부류나 범위.
¶ 범주 안에 들다. / 같은 범주에 속하다. / 현대 사회에서 관찰할 수 있는 현상들
은 대략 몇 가지 범주로 묶어 볼 수 있다.
(2) {철학} 사물의 개념을 분류함에 있어서 그 이상 일반화할 수 없는 가장 보편적이고 기본
적인 최고의 유개념(類槪念). 아리스토텔레스에 의하여 술어화된 것으로, 분류의
기준과 구체적인 분류 내용은 철학자들마다 다르다. ≒ 오성 개념."
0549,DAY 19,고유,고유03,固有,"굳을 고, 있을 유",2006수능,명사,"본래부터 가지고 있는 특유한 것.
¶ 고유 의상 / 고유 음식 / 고유 상표 / 생활한복은 우리 고유의 멋에 실용성을
덧붙여서 만들었다. / 얇은 돌조각으로 지붕을 덮은 너새집은 고유의 가옥 형
태다."
0550,DAY 19,개조,개조01,改造,"고칠 개, 지을 조",2006수능,명사,"고쳐 만들거나 바꿈.
¶ 노후 건물 개조 / 차량 개조."
0551,DAY 19,연비,연비04,燃費,"탈 연, 쓸 비",2006수능,명사,"{기계} 자동차의 단위 연료당 주행 거리의 비율.
¶ 연비가 높아서 효율적인 차 / 이 신형 차에는 연비를 향상시킨 신형 엔진이 탑
재되어 있다."
0552,DAY 19,점화,점화02,點火,"점 점, 불 화",2006수능,명사,"(1) 불을 붙이거나 켬.
¶ 촛불 점화.
(2) 장마 때 방 안의 습기를 말리기 위하여 불을 땜.
(3) {기계} 내연 기관에서 실린더 안의 연료를 폭발시키기 위하여 가스체에 가열 또는 전기
불꽃을 접촉시킴. 또는 그런 일."
0553,DAY 19,연소,연소06,燃燒,"탈 연, 사를 소",2006수능,명사,"{화학} 물질이 산소와 화합할 때에, 많은 빛과 열을 내는 현상. 넓은 뜻으로는 열과 빛을 수
반하지 않는 산화 반응과, 원자로 안에서 진행하는 연쇄 핵분열 반응도 포함한다.
¶ 연료의 연소."
0554,DAY 19,효율,효율,效率,"본받을 효, 비율 율",2006수능,명사,"(1) 들인 노력과 얻은 결과의 비율. ≒ 효과율.
¶ 효율을 떨어뜨리다. / 기술의 발달은 자연 자원 이용의 효율을 높여 주었다.
(2) {물리} 기계의 일한 양과 공급되는 에너지와의 비(比)."
0555,DAY 19,언중,언중03,言衆,"말씀 언, 무리 중",2006수능,명사,"{언어} 같은 언어를 사용하면서 공동생활을 하는 언어 사회 안의 대중(大衆). ≒ 말무리
02."
0556,DAY 19,연마,연마01,硏磨練磨鍊磨,"갈 연, 갈 마, 익힐 련, 갈 마, 불릴 련, 단련할 련, 갈 마",2006수능,명사,"(1) 주로 돌이나 쇠붙이, 보석, 유리 따위의 고체를 갈고 닦아서 표면을 반질반질하게 함.
≒ 마연
02(磨硏)(1).
(2) 학문이나 기술 따위를 힘써 배우고 닦음. ≒ 마연02(2).
¶ 정신의 수양과 심신의 연마 / 기술 연마에 힘쓰다."
0557,DAY 19,환기,환기01,喚起,"부를 환, 일어날 기",2006수능,명사,"주의나 여론, 생각 따위를 불러일으킴.
¶ 의식의 환기 / 당국은 새 정책에 대한 여론의 환기를 위해 대대적인 홍보 행사
를 마련했다."
0558,DAY 19,연대,연대02,連帶,"잇닿을 련, 띠 대",2006수능,명사,"(1) 여럿이 함께 무슨 일을 하거나 함께 책임을 짐.
¶ 연대 서명 / 이 사업은 관련 업체와 연대가 잘 이루어져야만 성공할 수 있다.
(2) 한 덩어리로 서로 연결되어 있음.
¶ 사형수의 그를 대하는 눈길 속에는 피차에 같은 빨간 딱지임을 의식하는, 굳이
연대 의식이랄 것까지는 없겠으나 최소한의 친근감이랄까 하는 것이 스치고 있
었던 것이었다. ≪이호철, 문≫"
0559,DAY 19,능률,능률,能率,"능할 능, 비율 률",2006수능,명사,"일정한 시간에 할 수 있는 일의 비율.
¶ 능률을 올리다. / 능률을 높이다. / 능률이 낮다. / 스트레스가 많이 쌓이면 일
의 능률이 떨어지게 된다."
0560,DAY 19,난관,난관02,難關,어려울 난관계할 관,2006수능,명사,"(1) 일을 하여 나가면서 부딪치는 어려운 고비.
¶ 난관에 봉착하다. / 난관에 부딪치다. / 난관을 극복하다. / 난관을 뚫다. / 난
관을 무릅쓰다. / 그는 어떠한 난관에도 흔들리지 않았다.
(2) 지나기가 어려운 곳.
¶ 이 산을 넘자면 몇 군데 난관을 지나가야 한다."
0561,DAY 19,구속,구속02,拘束,"잡을 구, 묶을 속",2006수능,명사,"(1) 행동이나 의사의 자유를 제한하거나 속박함.
¶ 구속을 받다. / 구속에서 벗어나다. / 구속을 당하다. / 우리는 아무런 구속이
없는 자유로운 분위기에서 일한다.
(2) {공업} 고체의 가로 수축을 제한하면서 세로로 장력을 가하는 일.
(3) {물리} 물체의 운동이 다른 물체나 전자기장에 제한을 받아 어떤 공간에 갇히는 현상.
≒ 속박(2).
(4) {법률} 법원이나 판사가 피의자나 피고인을 강제로 일정한 장소에 잡아 가두는 일.
¶ 이 사건의 주동자는 호되게 몰아붙일 게 뻔했고, 그렇게 되면 세 명 모두 구속
조치가 분명할 것이었다. ≪김원일, 불의 제전≫"
0562,DAY 19,과시,과시07,誇示,"자랑할 과, 보일 시",2006수능,명사,"(1) 자랑하여 보임.
¶ 예술적 재능의 과시 / 민족 역량의 과시.
(2) 사실보다 크게 나타내어 보임."
0563,DAY 19,협약,협약01,協約,"화합할 협, 맺을 약",2006수능,명사,"(1) 협상에 의하여 조약을 맺음. 또는 그 조약.
¶ 협약을 맺다. / 협약을 위반하다.
(2) {법률} 단체와 개인, 또는 단체와 단체 사이에 협정을 체결함. 또는 그 협정. 근로 협약,
단체 협약 따위이다.
(3) {정치} 국가와 국가 사이에 문서를 교환하여 계약을 맺음. 또는 그 계약. 좁은 뜻의 조
약과 성질, 효력이 같다. 주로 문화적 내용의 것이나 입법적인 것에 붙이는 일
이 많다."
0564,DAY 19,매사,매사01,每事,"매양 매, 일 사",2006수능,"Ⅰ, , 명사","하나하나의 모든 일.
¶ 그는 매사에 빈틈이 없다. / 김 선생은 매사를 너무 쉽게 생각한다.
[Ⅱ] [부사]
하나하나의 일마다.
¶ 그 사람 일 처리하는 것이 매사 다 그렇지 뭐. / 매사 적당주의인 아버지라도
형의 광기가 한번 나타나면 속수무책으로 절절맸다. ≪전상국, 침묵의 눈≫"
0565,DAY 19,조롱,조롱03,嘲弄,비웃을 조희롱할 롱,2006수능,명사,"비웃거나 깔보면서 놀림.
¶ 조롱을 당하다 / 조롱을 받다 / 그녀는 손가락을 입에 물고 재미있다는, 조롱
섞인 눈으로 눈웃음을 살살 치고 있다. ≪이제하, 유자약전≫ / 그녀가 끝까지
흑인들의 조롱을 감수할 수밖에 없었던 것은 바로 그들이 쥐어 준 그 돈 때문
이었다. ≪최인호, 지구인≫"
0566,DAY 19,정진,정진07,精進,"정할 정, 나아갈 진",2006수능,명사,"(1) 힘써 나아감.
¶ 예민한 감각과 너그러운 정서는 하루아침에 얻을 수 있는 것이 아니요, 많은 정
진과 도야와 노력을 거쳐서야 비로소 체득되는 것이다.
≪이양하, 이양하 수필선≫
(2) 몸을 깨끗이 하고 마음을 가다듬음.
(3) 고기를 삼가고 채식함.
(4) {불교} 일심(一心)으로 불도를 닦아 게을리하지 않음. ≒ 정진바라밀."
0567,DAY 19,일가,일가02,一家,"한 일, 집 가",2006수능,명사,"(1) 한집에서 사는 가족.
¶ 화목한 일가.
(2) 성(姓)과 본이 같은 겨레붙이.
¶ 일가가 되는 사람 / 고향에서 일가가 찾아오다. / 일가가 다 뿔뿔이 흩어져 살
았다.
(3) 학문, 기술, 예술 등의 분야에서 독자적인 경지나 체계를 이룬 상태.
¶ 문예 비평가로서 일가를 이루다."
0568,DAY 19,수양,수양05,修養,"닦을 수, 기를 양",2006수능,명사,"몸과 마음을 갈고닦아 품성이나 지식, 도덕 따위를 높은 경지로 끌어올림.
¶ 정신 수양 / 인격 수양 / 그는 일이 급기 성사가 된 뒤가 아니면 결코 마음을
놓지 않을 만치 수양을 쌓은 사람이었다. ≪김동인, 젊은 그들≫"
0569,DAY 19,혼동,혼동02,混同,"섞을 혼, 같을 동",2005수능,명사,"(1) 구별하지 못하고 뒤섞어서 생각함.
¶ 잠이 다 깨지 않았는지 그는 현실과 꿈 사이에서 혼동을 일으켰다.
(2) 서로 뒤섞이어 하나가 됨.
(3) {법률} 서로 대립하는 두 개의 법률적 지위가 동일인에게 귀속하는 일. 주로 물권과 채
권이 소멸되는 원인이 된다."
0570,DAY 19,변천,변천03,變遷,"변할 변, 옮길 천",2005수능,명사,"세월의 흐름에 따라 바뀌고 변함. ≒ 변이
03(變移)·전천
04(轉遷)·화천
02(化遷).
¶ 시대의 변천 / 문화의 변천 / 대외 관계의 변천 / 자동차 박람회의 특별 행사에
서 자동차의 변천 과정을 보여 주었다. / 이번 전시회에서는 의복의 변천을 한
눈에 볼 수 있다."
0571,DAY 20,급등,급등,急騰,"급할 급, 오를 등",2005수능,명사,"물가나 시세 따위가 갑자기 오름.
¶ 주가의 급등 / 원유 가격 급등에 따른 석유 파동이 예상된다."
